City,Year,STA,TIP,ECO,FDI,SDC
南京市,2007-12-31,-14.0,953.0,5661.0,44342.0,-13.100000000000001
南京市,2008-12-31,137.0,1012.0,5148.0,40950.0,93.5
南京市,2009-12-31,-99.0,1711.0,4581.0,1996.0,-42.900000000000006
南京市,2010-12-31,52.0,2395.0,10097.0,42402.0,4.799999999999997
南京市,2011-12-31,-33.0,2997.0,9438.0,74987.0,20.400000000000006
南京市,2012-12-31,-12.0,3991.0,10125.0,56443.0,-27.900000000000006
南京市,2013-12-31,36.0,4231.0,9272.0,-9769.0,21.5
南京市,2014-12-31,0.0,2218.0,6893.0,-74192.0,-0.5
南京市,2015-12-31,-5.0,5631.0,10289.0,4389.0,-11.799999999999997
南京市,2016-12-31,-30.0,1387.0,7335.0,14478.0,11.900000000000006
南京市,2017-12-31,31.0,2982.0,10300.0,19336.0,-5.200000000000003
南京市,2018-12-31,68.0,11837.0,11345.0,18066.0,33.60000000000001
南京市,2019-12-31,-24.0,11108.0,10501.0,24719.0,-8.700000000000017
南京市,2020-12-31,-62.0,21266.0,7315.0,41446.0,-7.099999999999994
南京市,2021-12-31,50.0,15844.0,14880.0,49941.0,39.5
南京市,2022-12-31,3.0,-5249.0,3566.0,-16495.0,-7.800000000000011
无锡市,2006-12-31,-145.0,-84349.0,-118650.0,-209722.0,-133.1
无锡市,2007-12-31,2.0,1561.0,7712.0,1949.0,-10.200000000000003
无锡市,2008-12-31,83.0,557.0,8423.0,39474.0,125.0
无锡市,2009-12-31,-47.0,3895.0,6852.0,3657.0,-44.2
无锡市,2010-12-31,-7.0,15284.0,10215.0,9699.0,-38.800000000000004
无锡市,2011-12-31,-6.0,3432.0,12072.0,20473.0,-10.199999999999996
无锡市,2012-12-31,7.0,22147.0,5448.0,50473.0,9.099999999999994
无锡市,2013-12-31,3.0,-8122.0,4328.0,-67067.0,3.8000000000000043
无锡市,2014-12-31,-12.0,-13787.0,4017.0,-43448.0,-16.300000000000004
无锡市,2015-12-31,3.0,6186.0,2626.0,29781.0,27.0
无锡市,2016-12-31,-3.0,-2249.0,7927.0,21054.0,-13.5
无锡市,2017-12-31,68.0,-2623.0,11945.0,26272.0,53.3
无锡市,2018-12-31,-25.0,6418.0,10954.0,1588.0,-30.39999999999999
无锡市,2019-12-31,-12.0,3222.0,7399.0,-7156.0,0.29999999999999716
无锡市,2020-12-31,26.0,22268.0,6790.0,130.0,8.599999999999994
无锡市,2021-12-31,3.0,19199.0,23570.0,18607.0,1.1000000000000085
无锡市,2022-12-31,43.0,-11044.0,8046.0,1899.0,11.0
徐州市,2006-12-31,-143.0,-67775.0,-180281.0,-358180.0,-101.60000000000001
徐州市,2007-12-31,0.0,120.0,3389.0,19857.0,2.0
徐州市,2008-12-31,10.0,472.0,4348.0,13961.0,7.200000000000001
徐州市,2009-12-31,4.0,1172.0,3251.0,11530.0,-0.20000000000000107
徐州市,2010-12-31,3.0,1788.0,6649.0,31549.0,8.200000000000001
徐州市,2011-12-31,-13.0,1875.0,7382.0,45239.0,-7.800000000000001
